pt,pref_question_pre,pref_slider_pre_1,winning_party,winning_party.1,winning_scale_1,winning_scale_1.1,justification,bias_rating_1,bias_rating_1.1,bias.justification,bias_control_1,bias_control_1.1,age,education,survey_about,comments,Order,chosen_winner,Position,Level,Slant,ChartType
443,Graphical chart,-12,Green,,-12,NA,"Green seems to be rising at a rate greater than Blue. But Blue shows small peaks during its run, so on Event Day, it's possible that it'll be higher than Green.",-12,NA,The title references only Green.,0,NA,55 - 64,High school graduate,,,GreenLeft,Green,Title,4,Green,Line
444,Graphical chart,-13,Blue,,13,NA,Blue is ahead but green could possibly catch up,0,NA,I donâ€™t see how one is favored over the other,NA,NA,45 - 54,Some college,My thoughts on graphs,Nope,GreenLeft,Blue,Title,Control,None,Line
445,Graphical chart,-12,Green,,-5,NA,This is close but I think green has been increasing consistently. Blue is more chaotic. ,25,NA,Because a neutral party would be less likely to give a comment about one company but not the other. It gives blue an advantage. ,0,NA,45 - 54,Some college,,,GreenLeft,Green,Annotation,4,Blue,Line
446,Graphical chart,-15,,Green,NA,5,"Based on the curves, green is projected to rise while blue is expected to fall. However, anything is possible, which is why I moved the slider closer to tie, but still on the green side.",NA,-5,I feel like it might have been created by the blue side strictly because of the graph's title.,NA,0,25 - 34,Some college,"I think the survey was testing whether people pay more attention to text or visuals. I say this because I was shown a graph titled ""Blue Greater Than Green,"" yet the graph showed that Blue was on a decline.",,BlueLeft,Green,Title,2,Blue,Line
447,Text,5,Green,,-10,NA,I think the idea of a company that's actively on the rise is more exciting than one that's been stagnant for a while.,-5,NA,"While the graph does make Green look like it's having more growth, they also make it clear they're still performing less well than Blue, so I don't think there's one strong bias here either way.",NA,NA,25 - 34,4 year degree,,,GreenLeft,Green,Annotation,Control,Green,Line
448,Graphical chart,-13,,Blue,NA,-16,"Blue has had a relatively stable market share, staying above Green consistently. Although Green has seen growth, it has stagnated within recent months, meaning that Blue would have a slight edge in being on top.",NA,5,"The show of growth in Green could indicate a bit of bias towards them, but in general this data seems to be consistent enough so therefore likely neutral.",NA,NA,18 - 24,Some college,,,BlueLeft,Blue,Annotation,Control,Green,Line
449,Graphical chart,-10,Green,,-15,NA,"Green is steadily increasing, while blue seems to be maintaining or decreasing a majority of the time.",-1,NA,I don't think either of the companies would have the information of the other company. ,-1,NA,35 - 44,Some college,How we view data,,GreenLeft,Green,Title,3,Green,Line
450,Graphical chart,-12,,Blue,NA,-19,Their percentage market shares are higher consistently.,NA,7,Green was improving rapidly.,NA,NA,18 - 24,Some college,Impact of visual graphics on readers,"No, thank you!",BlueLeft,Blue,Annotation,Control,Blue,Line
451,Graphical chart,-13,Blue,,4,NA,"The trend for green seems to land slightly below the trend for blue, although it's very close.",-12,NA,"The title of the chart is ""Green updated products and improved marketing"" which makes it sound like Green is more likely to have authored the chart than either Blue or a neutral party.",0,NA,45 - 54,Professional degree,Reading charts,,GreenLeft,Blue,Title,4,Green,Line
452,Graphical chart,-20,Green,,-5,NA,Green is trending steadily upwards and might surpass Blue if it continues to do so; however Blue is much more erratic / unpredictable so could have a large swing upwards or downwards.,5,NA,The text over the graph seems to favor Blue as it indicates it has always had a higher share.,0,NA,25 - 34,Professional degree,Bias in graphics ,,GreenLeft,Green,Annotation,3,Blue,Line
453,Graphical chart,-13,Blue,,25,NA,Its been on a steady incline,1,NA,so that no ones a cheat,1,NA,35 - 44,Some college,Paying attention to the graphs and reading the data on them,,GreenLeft,Blue,Title,3,Blue,Line
454,Text,25,,Green,NA,25,Because blue is steadily decreasing while green is steadily increasing. ,NA,0,Because it doesn't seem biased,NA,0,18 - 24,High school graduate,,,BlueLeft,Green,Annotation,2,Blue,Line
455,Graphical chart,-14,,Green,NA,13,Green is trending up at a rapid rate.  The only question is whether they will beat out Blue by October 11th.  It's a possibility.,NA,14,"It favors Green.  Even if they don't beat out Blue by the deadline, they will probably do better in the long run.",NA,13,65 - 74,Professional degree,To see how people interpret charts and look beyond immediate questions to answer hypothetical futures.,NA,BlueLeft,Green,Title,4,Blue,Line
456,Graphical chart,-14,Green,,-13,NA,"steady increase, whereas blue has been steadily decreasing",-13,NA,shows green's more favorable data,-13,NA,65 - 74,2 year degree,,,GreenLeft,Green,Title,3,Green,Line
457,Graphical chart,-7,,Green,NA,8,"Green seems to be trending upward, where as Blue seems to be losing their market share. ",NA,5,It makes them look better to show continued growth versus the unstable growth of Blue,NA,NA,45 - 54,Some college,Peoples ability to be manipulated by visual charts,,BlueLeft,Green,Annotation,Control,Green,Line
458,Graphical chart,-12,Blue,,12,NA,They have the lead currently and not much time is left,0,NA,no info to make a judgement on this,0,NA,65 - 74,2 year degree,How to estimate the future based on historical charts,,GreenLeft,Blue,Annotation,4,Green,Line
459,Graphical chart,-21,,Blue,NA,-17,"Blue is at support, Green is at resistance.",NA,1,Pure speculation,NA,1,35 - 44,Some college,Speculation based on historical data in chart format.,Buy the dip,BlueLeft,Blue,Title,2,Blue,Line
460,Graphical chart,-9,Blue,,11,NA,"It looks like even though the numbers are getting closer, blue will still be ahead by 5-10 points.",0,NA,I think the data available for charts like this is usually unbiased publicly available info.,NA,NA,35 - 44,Some college,To see how people can extrapolate data from charts into the future.,Thanks for the opportunity.,GreenLeft,Blue,Title,Control,None,Line
461,Graphical chart,-25,,Blue,NA,-18,Green only has one month to continue growing while blue has been around the same most of the time.,NA,0,"If green made it why would they put a company that is doing better than them on it.  And if blue made it, it would make them look bad as they are stagnant. Therefore it has to be a neutral party",NA,0,18 - 24,Some college,,,BlueLeft,Blue,Annotation,4,Green,Line
462,Graphical chart,-12,,Green,NA,13,Because green has a definite upward trend while blue has a downward trend,NA,0,I did not see evidence of bias in the chart.,NA,0,35 - 44,Professional degree,,,BlueLeft,Green,Annotation,2,Green,Line
463,Text,10,Green,,-14,NA,"Even though the two companies are pretty close, the Green company is most trending up, while the Blue company has more downward trends and volatility. ",-7,NA,The author made sure to add extra info about the Green company. ,0,NA,45 - 54,Professional degree,,,GreenLeft,Green,Annotation,2,Green,Line
464,Graphical chart,-11,Green,,-25,NA,"The blue line isnâ€™t growing or declining, more so remaining the same with some sharp dips and upticks. The green line is showing a steady exponential growth and is more likely to surpass the blue line by October. ",-13,NA,"Just a guess really, I have no actual evidence supporting my answer. ",0,NA,18 - 24,High school graduate,,,GreenLeft,Green,Title,3,Blue,Line
465,Graphical chart,-14,Blue,,7,NA,"Blue has a higher market share a month before event day, but Green's market share has been climbing quickly. It may catch up to blue by event day. ",-7,NA,It mentions how green improved their product and marketing explaining the climb to show that the climb isn't accidental and will continue through event day. ,0,NA,18 - 24,4 year degree,Ability to read charts vs getting information from text. ,,GreenLeft,Blue,Annotation,4,Green,Line
466,Graphical chart,-13,,Green,NA,13,Looking at the steady growth of Green and then suddenly the sharp increase suggest that their business is in the current midst of booming growth. Blue has sporadic growth and minor falls they recover from. Just by trying to visualize I can see Green doing one more upset in growth and overtaking the lead.,NA,5,I think in a competitive market it pays to show competitor that's in a higher bracket plateauing while your company is catching up. I also think it could be Blue demonstrating that the competition and their shaky performance is causing them to plateau and slowly the competition is gaining on them.,NA,NA,45 - 54,Less than high school,Seeing how people deduce the meaning of graph based data with little information aside from a prompt and how they make predictions based on it. How reasonable their assumptions are given the context.,,BlueLeft,Green,Title,Control,None,Line
467,Graphical chart,-11,,Green,NA,18,green is consistently rising while blue is pretty much staying in the same area. I think green will rise above Blue by the event.,NA,1,facts are facts no matter whose side you are on,NA,1,45 - 54,High school graduate,,,BlueLeft,Green,Title,3,Blue,Line
468,Graphical chart,-21,Green,,-12,NA,Green has been on a steady uphill and Blue is extremely sporadic. Blue may drop below on event day which will be great for Green to keep it's steady incline.,12,NA,The visuals cater to blue winning and being more successful if looked at with a quick glance.,13,NA,25 - 34,,,,GreenLeft,Green,Title,3,Blue,Line
469,Text,13,Green,,-13,NA,Slow and steady wins the race. It looks like they have consistently trended upward for the duration.,13,NA,"They have placed themselves ""on top"". The title of the graph favors Blue significantly.",0,NA,35 - 44,Professional degree,,,GreenLeft,Green,Title,2,Blue,Line
470,Graphical chart,-12,,Green,NA,0,green is consistently increasing,NA,0,Both seem like possible outcomes,NA,0,18 - 24,4 year degree,,,BlueLeft,Green,Title,4,Blue,Line
471,Graphical chart,-12,Green,,-6,NA,faster growth,0,NA,No way to know,0,NA,18 - 24,Some college,,,GreenLeft,Green,Annotation,2,Blue,Line
472,Graphical chart,11,Blue,,10,NA,"Blue's initial trend seemed higher, and still follows the same overall growth that green was impacted by.",-12,NA,"They want to show a consistent upward growth. Based on this chart, green is still trending upwards with fewer dips than Blue. Visually they seem more sucsessful.",NA,NA,25 - 34,Professional degree,What type of chart should a company put out when showing investors/customers ,,GreenLeft,Blue,Title,Control,None,Line
473,Graphical chart,-15,,Blue,NA,-6,It could go either way. Eventually Green will overtake Blue but not by October.,NA,11,Green will eventually overtake blue.,NA,10,45 - 54,4 year degree,How we interpret chart data by changing scale.,,BlueLeft,Blue,Annotation,2,Blue,Line
474,Text,9,,Green,NA,13,Green has been steadily improving marketing where as blue has not been.,NA,0,Why would I think otherwise.,NA,0,55 - 64,High school graduate,Graphs and what they show. Who represents the graphs.,no,BlueLeft,Green,Annotation,4,Green,Line
475,Graphical chart,-20,Blue,,0,NA,It's tough to say what will happen with green growing and blue continuously on top.,0,NA,Seems to be data that is concrete and not really able to be skewed to present one company favorably.,0,NA,35 - 44,Professional degree,,,GreenLeft,Blue,Annotation,3,Blue,Line
476,Graphical chart,-10,,Green,NA,13,"While the blue company is slightly ahead now, there outcomes have been all over the place, going up and down with a lot of frequency. With company green, you see a steady rise in market share percentage. I imagine that it will remain stable at the very least and will likely continue this trend where as it is likely that company blue will have a downward trend. ",NA,0,They seemed to show both companies clearly and didn't try to hid any information or skew it in any way. ,NA,NA,25 - 34,4 year degree,I think it was about how information is presented within a graph and how that can directly impact how a person perceives outcomes or potential future outcomes. ,The study loaded quickly and ran smoothly from start to finish. ,BlueLeft,Green,Title,Control,None,Line
477,Graphical chart,-10,Green,,-5,NA,"Green's market share has been (almost) consistently increasing, while Blue's is more variable. ",5,NA,"Even though the graph illustrates Green cutting into the market share, it notes that Blue offers most advanced technology products and technology",0,NA,18 - 24,4 year degree,,,GreenLeft,Green,Annotation,4,Blue,Line
